city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Rokytnice nad Jizerou,50.7257,15.4337,Czechia,CZ,Liberecký Kraj,,2601,2601
Strašice,49.7356,13.7576,Czechia,CZ,Plzeňský Kraj,,2599,2599
Strančice,49.9482,14.6775,Czechia,CZ,Středočeský Kraj,,2598,2598
Nový Hrozenkov,49.3370,18.1980,Czechia,CZ,Zlínský Kraj,,2574,2574
Rudolfov,48.9935,14.5418,Czechia,CZ,Jihočeský Kraj,,2572,2572
Horka nad Moravou,49.6401,17.2107,Czechia,CZ,Olomoucký Kraj,,2561,2561
Netolice,49.0494,14.1970,Czechia,CZ,Jihočeský Kraj,,2559,2559
Hovorčovice,50.1787,14.5180,Czechia,CZ,Středočeský Kraj,,2555,2555
Velké Losiny,50.0320,17.0406,Czechia,CZ,Olomoucký Kraj,,2552,2552
Zastávka,49.1880,16.3631,Czechia,CZ,Jihomoravský Kraj,,2528,2528
Bohuňovice,49.6630,17.2870,Czechia,CZ,Olomoucký Kraj,,2521,2521
Hať,49.9464,18.2394,Czechia,CZ,Moravskoslezský Kraj,,2521,2521
Počátky,49.2603,15.2402,Czechia,CZ,Vysočina,,2518,2518
Chabařovice,50.6733,13.9419,Czechia,CZ,Ústecký Kraj,,2517,2517
Nové Hrady,48.7897,14.7784,Czechia,CZ,Jihočeský Kraj,,2512,2512
Zbiroh,49.8603,13.7727,Czechia,CZ,Plzeňský Kraj,,2508,2508
Mikulovice,50.2985,17.3216,Czechia,CZ,Olomoucký Kraj,,2508,2508
Ruda nad Moravou,49.9810,16.8779,Czechia,CZ,Olomoucký Kraj,,2502,2502
Ždánice,49.0673,17.0275,Czechia,CZ,Jihomoravský Kraj,,2499,2499
Mořkov,49.5368,18.0597,Czechia,CZ,Moravskoslezský Kraj,,2497,2497
Horní Bludovice,49.7496,18.4368,Czechia,CZ,Moravskoslezský Kraj,,2490,2490
Bohušovice nad Ohří,50.4932,14.1506,Czechia,CZ,Ústecký Kraj,,2486,2486
Kamenný Újezd,48.8976,14.4464,Czechia,CZ,Jihočeský Kraj,,2486,2486
Ledenice,48.9334,14.6189,Czechia,CZ,Jihočeský Kraj,,2474,2474
Chýnov,49.4068,14.8112,Czechia,CZ,Jihočeský Kraj,,2472,2472
Dolní Kounice,49.0701,16.4649,Czechia,CZ,Jihomoravský Kraj,,2471,2471
Tovačov,49.4308,17.2880,Czechia,CZ,Olomoucký Kraj,,2461,2461
Fryčovice,49.6668,18.2232,Czechia,CZ,Moravskoslezský Kraj,,2459,2459
Tlumačov,49.2519,17.5053,Czechia,CZ,Zlínský Kraj,,2458,2458
Bosonohy,49.1761,16.5292,Czechia,CZ,Jihomoravský Kraj,,2457,2457
Vranovice,48.9660,16.6066,Czechia,CZ,Jihomoravský Kraj,,2455,2455
Karolinka,49.3513,18.2401,Czechia,CZ,Zlínský Kraj,,2452,2452
Ostravice,49.5351,18.3917,Czechia,CZ,Moravskoslezský Kraj,,2446,2446
Horní Bečva,49.4321,18.2886,Czechia,CZ,Zlínský Kraj,,2446,2446
Tišice,50.2699,14.5542,Czechia,CZ,Středočeský Kraj,,2444,2444
Velký Osek,50.0987,15.1864,Czechia,CZ,Středočeský Kraj,,2432,2432
Čejkovice,48.9059,16.9423,Czechia,CZ,Jihomoravský Kraj,,2420,2420
Dobšice,48.8484,16.0854,Czechia,CZ,Jihomoravský Kraj,,2418,2418
Komárov,49.8066,13.8564,Czechia,CZ,Středočeský Kraj,,2418,2418
Kunčice pod Ondřejníkem,49.5507,18.2612,Czechia,CZ,Moravskoslezský Kraj,,2416,2416
Chlumčany,49.6327,13.3133,Czechia,CZ,Plzeňský Kraj,,2409,2409
Černilov,50.2627,15.9226,Czechia,CZ,Královéhradecký Kraj,,2407,2407
Halenkov,49.3174,18.1475,Czechia,CZ,Zlínský Kraj,,2399,2399
Stráž nad Nisou,50.7911,15.0269,Czechia,CZ,Liberecký Kraj,,2394,2394
Česká Ves,50.2574,17.2281,Czechia,CZ,Olomoucký Kraj,,2392,2392
Buchlovice,49.0863,17.3385,Czechia,CZ,Zlínský Kraj,,2391,2391
Drnovice,49.2763,16.9515,Czechia,CZ,Jihomoravský Kraj,,2387,2387
Jáchymov,50.3586,12.9347,Czechia,CZ,Karlovarský Kraj,,2381,2381
Sobotka,50.4675,15.1763,Czechia,CZ,Královéhradecký Kraj,,2377,2377
Hovězí,49.3036,18.0606,Czechia,CZ,Zlínský Kraj,,2375,2375
Batelov,49.3143,15.3947,Czechia,CZ,Vysočina,,2368,2368
Velké Karlovice,49.3606,18.2836,Czechia,CZ,Zlínský Kraj,,2366,2366
